Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,season,country
Gladbach,15207,18955,80.2,258868,94260,7096,8048,88.2,6254,7326,85.4,1364,2401,56.8,44,37.1,34.4,6.9,333,974,248,42,1371,2020,GE
Hertha BSC,12566,16169,77.7,248502,87307,4473,5282,84.7,5998,6958,86.2,1814,3023,60.0,29,29.1,27.9,-0.1,278,839,224,75,1176,2020,GE
Hoffenheim,14269,18046,79.1,259701,96648,6008,6880,87.3,6296,7287,86.4,1608,2822,57.0,38,37.4,37.5,0.6,328,1113,313,101,1517,2020,GE
Köln,11954,15870,75.3,227260,90858,4798,5675,84.5,5204,6246,83.3,1650,3005,54.9,23,25.5,27.1,-2.5,254,837,214,83,1131,2020,GE
Leverkusen,17887,21683,82.5,323019,109005,7511,8391,89.5,7884,8922,88.4,1988,3185,62.4,41,34.7,38.0,6.3,351,1252,263,75,1522,2020,GE
Mainz 05,9531,13776,69.2,176200,76432,4003,5020,79.7,4037,5275,76.5,1206,2557,47.2,23,34.9,33.7,-11.9,274,781,218,73,1046,2020,GE
RB Leipzig,17500,21450,81.6,292079,103411,8233,9297,88.6,7169,8272,86.7,1453,2493,58.3,44,43.7,51.9,0.3,418,1436,367,81,1719,2020,GE
Schalke 04,11084,14706,75.4,202831,76224,4611,5483,84.1,4847,5750,84.3,1290,2483,52.0,20,20.6,19.2,-0.6,217,668,182,39,943,2020,GE
Stuttgart,14115,17768,79.4,245018,95221,6481,7378,87.8,5864,6865,85.4,1332,2415,55.2,42,37.1,38.0,4.9,358,1063,267,53,1467,2020,GE
Union Berlin,11859,15951,74.3,222470,86090,4864,5826,83.5,5148,6256,82.3,1521,2901,52.4,39,33.4,31.3,5.6,296,835,193,87,1059,2020,GE
Werder Bremen,11648,15559,74.9,211793,84074,5201,6190,84.0,4826,5900,81.8,1349,2551,52.9,25,21.5,24.3,3.5,252,822,190,81,1065,2020,GE
Wolfsburg,13133,17236,76.2,251433,91864,4953,5972,82.9,6223,7378,84.3,1661,2905,57.2,48,37.7,38.8,10.3,353,1004,282,70,1397,2020,GE
Atalanta,18066,22063,81.9,310229,109918,8542,9641,88.6,7388,8505,86.9,1686,2744,61.4,65,55.5,49.1,9.5,487,1635,490,85,2077,2020,IT
Benevento,11573,15318,75.6,210156,81278,4998,5811,86.0,4745,5735,82.7,1419,2776,51.1,26,27.6,24.7,-1.6,300,762,270,85,1096,2020,IT
Bologna,14683,18539,79.2,256744,99247,6690,7649,87.5,5992,7098,84.4,1528,2648,57.7,38,39.0,29.3,-1.0,372,1193,262,60,1516,2020,IT
Cagliari,13040,16868,77.3,235900,89913,5808,6708,86.6,5346,6416,83.3,1542,2779,55.5,30,34.0,30.8,-4.0,317,967,276,91,1228,2020,IT
Crotone,13532,17229,78.5,245442,95255,5782,6594,87.7,6004,7014,85.6,1437,2695,53.3,27,23.9,22.1,3.1,269,862,224,68,1217,2020,IT
Fiorentina,13430,17136,78.4,246275,88848,5748,6592,87.2,5603,6571,85.3,1668,2930,56.9,31,31.6,28.0,-0.6,266,1130,245,93,1353,2020,IT
Genoa,13954,17948,77.7,246279,89499,6410,7297,87.8,5472,6511,84.0,1602,3000,53.4,32,26.4,19.4,5.6,249,920,226,74,1165,2020,IT
Hellas Verona,12926,17419,74.2,232123,85512,5724,6738,85.0,5450,6669,81.7,1405,2918,48.1,30,33.5,27.8,-3.5,304,1088,289,67,1490,2020,IT
Inter,18384,21624,85.0,321565,102857,8126,8970,90.6,7965,8842,90.1,1776,2636,67.4,62,52.5,46.5,9.5,422,1361,395,96,1707,2020,IT
Juventus,19839,23031,86.1,353120,113338,8475,9273,91.4,8934,9758,91.6,1969,2877,68.4,59,55.1,40.5,3.9,470,1454,356,89,1768,2020,IT
