Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,season,country
Brighton,2,53,6,0,6,6,42.7,0.27,-4.3,-0.11,2022,EN
Chelsea,2,47,1,1,8,3,47.0,0.3,3.0,0.08,2022,EN
Crystal Palace,3,49,4,0,8,3,44.7,0.26,-1.3,-0.03,2022,EN
Everton,2,57,5,2,4,0,60.4,0.3,3.4,0.09,2022,EN
Fulham,2,53,7,1,8,2,60.1,0.28,9.1,0.24,2022,EN
Leeds United,2,78,5,1,7,1,64.1,0.32,-12.9,-0.34,2022,EN
Leicester City,2,68,4,4,8,5,55.4,0.29,-7.6,-0.2,2022,EN
Liverpool,2,47,2,0,0,2,54.1,0.33,9.1,0.24,2022,EN
Manchester City,2,33,3,1,4,1,30.3,0.3,-1.7,-0.05,2022,EN
Manchester Utd,1,43,2,2,6,1,41.3,0.27,-0.7,-0.02,2022,EN
Newcastle Utd,2,33,2,0,8,2,33.2,0.24,2.2,0.06,2022,EN
Nott'ham Forest,3,68,6,2,9,0,60.1,0.3,-7.9,-0.21,2022,EN
Southampton,2,73,2,1,8,5,46.0,0.29,-22.0,-0.58,2022,EN
Tottenham,2,63,3,1,7,1,55.1,0.3,-6.9,-0.18,2022,EN
West Ham,2,55,4,0,4,1,53.2,0.29,-0.8,-0.02,2022,EN
