Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,season,country
Alavés,96,8,5,513,487,73,645,427,292,5,3,0,1737,831,602,58.0,2020,SP
Athletic Club,82,3,1,483,477,77,812,344,269,5,6,1,1836,656,601,52.2,2020,SP
Atlético Madrid,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4,2020,SP
Barcelona,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5,2020,SP
Betis,93,8,4,521,483,65,586,453,315,9,10,3,1938,613,628,49.4,2020,SP
Cádiz,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7,2020,SP
Celta Vigo,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7,2020,SP
Eibar,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8,2020,SP
Elche,99,3,2,527,456,51,672,386,336,1,10,1,1811,488,539,47.5,2020,SP
Getafe,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47.0,2020,SP
Granada,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2,2020,SP
Huesca,69,2,1,528,518,101,824,437,321,2,5,2,1876,580,598,49.2,2020,SP
Levante,68,1,0,509,397,69,697,435,282,5,4,2,2023,455,522,46.6,2020,SP
Osasuna,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3,2020,SP
Real Madrid,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,53.8,2020,SP
Real Sociedad,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,49.8,2020,SP
Sevilla,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,53.5,2020,SP
Valencia,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,51.1,2020,SP
Valladolid,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,43.4,2020,SP
Villarreal,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,49.6,2020,SP
Arminia,52,1,0,390,417,49,471,418,328,2,6,1,1725,740,711,51.0,2020,GE
Augsburg,71,4,3,395,403,67,500,454,308,3,9,3,1802,559,688,44.8,2020,GE
Bayern Munich,44,3,0,317,374,74,828,399,316,7,3,0,2050,430,409,51.3,2020,GE
Dortmund,44,1,1,359,373,69,532,413,318,6,6,1,2023,432,350,55.2,2020,GE
Eint Frankfurt,82,1,1,459,366,69,776,428,352,6,6,2,2094,604,552,52.2,2020,GE
Freiburg,62,0,0,437,401,56,636,452,247,5,6,2,1718,588,637,48.0,2020,GE
Gladbach,61,2,0,395,412,82,561,436,307,9,6,0,1914,512,488,51.2,2020,GE
Hertha BSC,67,3,2,469,428,77,585,417,270,6,8,1,1743,527,513,50.7,2020,GE
Hoffenheim,68,4,2,442,407,49,658,431,296,4,9,2,1896,516,620,45.4,2020,GE
Köln,63,1,1,422,429,57,655,429,328,4,9,0,1948,607,614,49.7,2020,GE
Leverkusen,58,0,0,433,335,72,674,322,282,1,2,2,2006,444,487,47.7,2020,GE
Mainz 05,63,1,1,500,379,57,605,500,364,4,7,1,1923,613,650,48.5,2020,GE
RB Leipzig,57,0,0,435,404,81,649,353,305,9,3,0,2060,622,466,57.2,2020,GE
Schalke 04,74,2,2,415,403,68,425,411,337,3,8,5,1748,519,564,47.9,2020,GE
Stuttgart,65,2,1,420,434,55,539,426,294,6,7,1,2053,544,452,54.6,2020,GE
Union Berlin,57,2,1,434,375,84,640,405,283,6,5,2,1977,585,669,46.7,2020,GE
Werder Bremen,67,3,2,396,467,68,548,407,333,3,6,3,1738,609,582,51.1,2020,GE
Wolfsburg,58,3,1,442,379,77,643,477,363,1,5,1,2088,567,566,50.0,2020,GE
Atalanta,67,3,1,580,473,56,657,516,343,5,8,1,2472,633,506,55.6,2020,IT
Benevento,95,5,2,496,593,61,645,383,288,7,5,6,1749,496,615,44.6,2020,IT
Bologna,82,4,2,536,476,73,669,424,313,3,9,2,2016,564,594,48.7,2020,IT
Cagliari,77,3,2,516,469,57,721,388,336,4,5,0,1854,637,602,51.4,2020,IT
Crotone,89,4,2,531,490,57,544,380,311,7,5,2,1936,472,534,46.9,2020,IT
Fiorentina,86,5,0,523,523,61,740,388,263,4,11,2,1817,538,544,49.7,2020,IT
Genoa,87,2,1,520,466,79,579,520,309,2,7,2,2013,505,643,44.0,2020,IT
Hellas Verona,91,1,0,622,520,108,732,492,269,3,7,2,2214,749,832,47.4,2020,IT
Inter,61,2,1,472,426,65,702,371,286,6,7,1,1814,439,428,50.6,2020,IT
Juventus,80,6,2,505,470,93,754,458,323,8,9,2,1941,426,378,53.0,2020,IT
Lazio,107,5,3,498,427,87,744,445,346,8,10,2,2132,539,510,51.4,2020,IT
Milan,83,4,1,513,474,92,688,382,357,15,5,1,2069,567,539,51.3,2020,IT
Napoli,76,3,2,386,548,72,665,369,345,7,5,1,1923,414,404,50.6,2020,IT
Parma,91,1,0,525,481,78,643,463,317,4,3,3,1803,630,474,57.1,2020,IT
Roma,91,3,3,553,425,62,679,489,273,6,6,3,1894,428,414,50.8,2020,IT
Sampdoria,83,3,1,509,485,62,787,453,326,3,9,1,2048,628,597,51.3,2020,IT
Sassuolo,79,4,2,494,475,57,588,426,310,12,5,1,1850,408,450,47.6,2020,IT
Spezia,100,5,4,588,529,82,602,394,320,5,10,0,2001,537,568,48.6,2020,IT
Torino,78,4,3,577,602,59,740,444,306,6,10,0,1968,595,622,48.9,2020,IT
Udinese,65,2,1,511,522,82,703,440,294,3,14,0,1853,491,442,52.6,2020,IT
América (MG),64,1,1,552,575,71,739,431,363,6,4,0,2109,623,672,48.1,2021,BR
Ath Paranaense,83,3,0,567,498,38,777,414,296,1,6,2,1756,560,547,50.6,2021,BR
Atl Goianiense,89,2,0,537,537,48,632,349,313,3,6,1,1864,529,563,48.4,2021,BR
Atlético Mineiro,79,2,2,576,500,49,714,369,361,8,5,2,1861,441,430,50.6,2021,BR
Bahia,94,5,3,585,503,42,848,454,338,3,9,0,1791,651,623,51.1,2021,BR
Ceará,89,4,2,577,529,52,672,388,334,3,6,1,1917,664,591,52.9,2021,BR
Chapecoense,77,5,2,565,485,54,732,451,340,3,8,1,1828,461,585,44.1,2021,BR
Corinthians,62,3,1,419,567,31,649,379,289,4,3,0,1668,516,499,50.8,2021,BR
Cuiabá,87,6,3,533,535,66,580,413,316,3,3,0,1894,629,611,50.7,2021,BR
