Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Udinese,4,58,1.5,159,101,72.3,10,10,18,8,21.1,2020,IT
América (MG),2,37,1.0,163,125,79.1,13,14,11,13,34.2,2021,BR
Ath Paranaense,2,45,1.2,141,97,71.6,13,8,17,9,23.7,2021,BR
Atl Goianiense,3,36,1.0,151,114,78.8,13,14,11,16,42.1,2021,BR
Atlético Mineiro,2,34,0.9,117,84,73.5,26,6,6,16,42.1,2021,BR
Bahia,3,51,1.3,164,113,74.4,11,10,17,13,34.2,2021,BR
Ceará,3,38,1.0,142,104,75.4,11,17,10,15,39.5,2021,BR
Chapecoense,3,67,1.8,206,140,71.4,1,12,25,3,7.9,2021,BR
Corinthians,2,36,1.0,160,124,79.4,15,12,11,12,31.6,2021,BR
Cuiabá,2,37,1.0,153,115,76.5,10,17,11,15,39.5,2021,BR
Flamengo,3,36,1.0,141,104,74.5,21,8,9,14,36.8,2021,BR
Fluminense,2,38,1.0,144,108,79.9,15,9,14,12,31.6,2021,BR
Fortaleza,2,45,1.2,153,109,75.2,17,7,14,14,36.8,2021,BR
Grêmio,3,51,1.3,159,108,70.4,12,7,19,10,26.3,2021,BR
Internacional,2,42,1.1,161,121,77.0,12,12,14,11,28.9,2021,BR
Juventude,2,44,1.2,131,89,69.5,11,13,14,12,31.6,2021,BR
Palmeiras,3,43,1.1,156,112,75.0,20,6,12,13,34.2,2021,BR
Red Bull Bragantino,2,46,1.2,171,125,74.9,14,14,10,11,28.9,2021,BR
Santos,3,40,1.0,157,116,78.3,12,14,12,17,44.7,2021,BR
São Paulo,1,39,1.0,150,111,74.0,11,15,12,14,36.8,2021,BR
Sport Recife,2,37,1.0,178,144,82.0,9,11,18,14,36.8,2021,BR
Arsenal,2,48,1.3,147,100,70.7,22,3,13,13,34.2,2021,EN
Aston Villa,3,54,1.4,149,96,66.4,13,6,19,11,28.9,2021,EN
Brentford,3,56,1.5,179,125,71.5,13,7,18,9,23.7,2021,EN
Brighton,2,44,1.2,146,102,71.9,12,15,11,11,28.9,2021,EN
Burnley,2,53,1.4,178,127,73.0,7,14,17,9,23.7,2021,EN
Chelsea,2,33,0.9,115,83,76.5,21,11,6,16,42.1,2021,EN
Crystal Palace,2,46,1.2,144,99,70.1,11,15,12,12,31.6,2021,EN
Everton,2,66,1.7,188,127,66.0,11,6,21,8,21.1,2021,EN
Leeds United,2,79,2.1,224,146,67.0,9,11,18,5,13.2,2021,EN
Leicester City,2,59,1.6,192,132,72.9,14,10,14,7,18.4,2021,EN
Liverpool,2,26,0.7,107,82,75.7,28,8,2,21,55.3,2021,EN
Manchester City,2,26,0.7,85,59,70.6,29,6,3,21,55.3,2021,EN
Manchester Utd,1,57,1.5,180,124,70.0,16,10,12,8,21.1,2021,EN
