Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,country
Fiorentina,47.4,21343,2205,6723,9390,5490,845,21332,670,428,63.9,242,36.1,12273,71566,39481,857,545,195,595,388,13488,1432,2019,IT
Genoa,49.5,22193,2703,7647,9844,4922,653,22178,565,335,59.3,230,40.7,12672,64976,33616,583,434,103,558,349,14203,1269,2019,IT
Hellas Verona,49.8,21661,2367,6427,10342,5111,744,21652,546,328,60.1,217,39.7,11821,64502,33903,728,553,146,536,307,13229,1554,2019,IT
Inter,54.2,24766,2441,7448,11450,6087,1024,24755,498,311,62.4,187,37.6,13950,76296,41980,797,520,190,515,292,17092,1806,2019,IT
Juventus,58.1,27421,2020,6575,13503,7570,863,27407,689,434,63.0,254,36.9,17726,83654,42833,879,767,211,510,293,20049,1734,2019,IT
Lazio,50.4,23332,2356,7008,10481,6081,950,23314,580,360,62.1,217,37.4,13144,80519,45995,935,658,212,503,270,15748,1658,2019,IT
Lecce,44.8,21113,2771,7565,9066,4702,718,21099,464,296,63.8,168,36.2,11985,65854,36369,752,536,144,481,318,13564,1349,2019,IT
Milan,54.9,24800,2257,6836,11724,6509,936,24791,656,402,61.3,254,38.7,15448,81062,42849,816,704,219,598,342,16958,1702,2019,IT
Napoli,59.2,28084,2139,6780,14082,7442,917,28079,587,362,61.7,225,38.3,18571,94242,53505,979,803,194,427,296,21074,2008,2019,IT
Parma,43.8,20080,2717,7279,8488,4533,730,20074,564,326,57.8,235,41.7,11250,63880,33929,673,502,185,582,355,12051,1210,2019,IT
Roma,52.7,23255,2266,6676,10889,5948,999,23241,671,417,62.1,253,37.7,12899,80074,42749,944,718,236,537,282,15834,1638,2019,IT
Sampdoria,42.7,20099,2280,6197,9151,4989,705,20087,507,307,60.6,200,39.4,10309,56300,30093,613,463,100,505,295,11802,1358,2019,IT
Sassuolo,57.5,25903,2438,7367,12657,6132,843,25897,757,468,61.8,288,38.0,14874,86686,48546,902,678,234,522,339,18445,1575,2019,IT
SPAL,46.9,20738,2614,7307,9038,4632,620,20731,519,357,68.8,162,31.2,11194,62194,32378,696,461,141,518,354,13190,1225,2019,IT
Torino,47.4,20846,2533,7181,9045,4883,737,20838,715,449,62.8,266,37.2,10971,63687,33973,843,544,156,605,360,12474,1202,2019,IT
Udinese,44.7,21128,2448,7177,9500,4716,706,21128,550,350,63.6,199,36.2,12203,67349,36437,709,539,163,538,328,13279,1261,2019,IT
Ath Paranaense,53.8,23283,2451,7332,11254,4888,605,23282,560,328,58.6,232,41.4,13968,71266,36676,578,441,120,546,307,16079,1611,2020,BR
Atl Goianiense,46.9,19665,2253,6438,8444,5044,610,19661,582,339,58.2,242,41.6,10527,61114,33605,668,416,106,491,296,11952,1412,2020,BR
Atlético Mineiro,60.6,26772,1917,6399,13407,7157,966,26759,622,364,58.5,258,41.5,16145,75715,40468,695,614,188,542,268,19124,2203,2020,BR
Bahia,46.8,20699,2078,6469,9727,4746,638,20691,638,393,61.6,245,38.4,12159,65594,34128,691,471,136,513,306,13243,1491,2020,BR
Botafogo (RJ),47.8,20990,2278,6520,9995,4729,707,20983,565,338,59.8,227,40.2,12623,66304,34438,604,490,111,522,293,13544,1422,2020,BR
Ceará,43.6,19393,2121,5826,9113,4689,637,19386,585,355,60.7,230,39.3,11027,58287,28858,576,424,141,546,306,11700,1325,2020,BR
Corinthians,49.9,22267,2209,6995,10151,5324,731,22262,556,340,61.2,216,38.8,12587,61823,32382,606,466,121,570,331,14281,1618,2020,BR
Coritiba,46.7,20952,2547,7570,9411,4212,487,20946,583,352,60.4,231,39.6,12037,63312,33218,565,450,87,543,292,13457,1272,2020,BR
Flamengo,60.3,25937,1969,6590,12030,7620,1071,25927,739,500,67.7,239,32.3,17311,89283,46053,922,730,198,553,387,18539,2151,2020,BR
Fluminense,48.7,21543,2058,6937,10255,4595,607,21535,637,395,62.0,242,38.0,12539,65837,33397,545,460,95,600,407,13863,1335,2020,BR
Fortaleza,49.8,20615,2102,6145,10226,4475,573,20607,636,418,65.7,217,34.1,12295,65785,34655,598,478,143,435,260,13862,1385,2020,BR
Goiás,42.5,18885,2480,6936,8073,4100,503,18880,543,341,62.8,202,37.2,9960,55169,28036,491,425,82,512,369,11002,1084,2020,BR
Grêmio,52.4,23774,1663,5670,12163,6205,775,23767,723,452,62.5,271,37.5,13775,72224,35686,743,591,167,518,321,16624,1579,2020,BR
Internacional,49.4,21402,1839,6054,10490,5098,665,21392,567,349,61.6,218,38.4,12152,66893,34471,663,512,117,598,324,13416,1377,2020,BR
Palmeiras,52.1,22399,2069,6850,10613,5167,610,22392,532,351,66.0,181,34.0,13845,69474,35334,609,522,104,560,278,14927,1596,2020,BR
Red Bull Bragantino,48.9,21412,1867,6289,9593,5757,761,21404,603,359,59.5,244,40.5,12379,65273,34678,698,502,177,588,312,13449,1610,2020,BR
Santos,50.7,20303,2225,7061,8991,4487,602,20290,591,359,60.7,232,39.3,11728,64201,32870,638,443,127,532,285,12817,1327,2020,BR
São Paulo,57.2,25002,2140,7226,12091,5897,724,24995,562,349,62.1,213,37.9,15653,79380,43376,701,583,101,550,337,17760,1674,2020,BR
Sport Recife,45.0,20237,2265,6592,9328,4548,562,20229,502,274,54.6,228,45.4,11044,56584,29398,569,458,84,521,314,12447,1335,2020,BR
Vasco da Gama,46.7,20742,2165,6662,9845,4481,516,20738,667,422,63.3,245,36.7,12608,69881,35439,661,552,103,539,372,13275,1279,2020,BR
Arsenal,53.5,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748,2020,EN
Aston Villa,48.5,21113,2577,6973,8614,5759,947,21107,595,369,62.0,223,37.5,11291,60378,30659,629,463,226,579,337,12832,1403,2020,EN
Brighton,51.1,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73709,37608,685,468,131,549,306,15634,1495,2020,EN
Burnley,42.1,19391,2181,5794,9081,4683,699,19388,403,234,58.1,170,42.2,9240,46385,20946,389,340,75,503,278,10755,1002,2020,EN
Chelsea,60.9,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851,1787,2020,EN
Crystal Palace,40.6,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10226,56545,26885,526,388,151,596,402,11524,1113,2020,EN
Everton,46.4,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177,2020,EN
Fulham,49.7,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13406,74278,37380,727,525,156,721,393,15290,1338,2020,EN
Leeds United,57.3,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625,2020,EN
Leicester City,54.3,25365,2268,7924,11997,5674,772,25353,645,358,55.5,287,44.5,13991,72340,37072,666,481,142,549,322,16883,1455,2020,EN
Liverpool,62.1,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,886,754,249,592,387,21796,2041,2020,EN
Manchester City,63.5,30700,1912,6477,15960,8504,1196,30691,783,485,61.9,298,38.1,20039,106424,59443,1096,863,340,510,350,23640,2033,2020,EN
Manchester Utd,55.7,26617,2222,7609,11950,7323,921,26606,711,415,58.4,293,41.2,15481,88886,47495,877,666,201,536,360,18671,1817,2020,EN
Newcastle Utd,38.8,18774,2524,7166,7894,3941,552,18767,587,350,59.6,237,40.4,9605,51309,24707,467,376,114,519,297,10730,888,2020,EN
Sheffield Utd,41.7,20351,2314,6405,8599,5537,615,20347,475,269,56.6,207,43.6,10178,54344,27029,491,398,104,536,323,12037,1183,2020,EN
Southampton,52.0,23607,2302,7497,11566,4756,698,23601,601,343,57.1,258,42.9,12535,66172,33536,626,517,126,638,386,14818,1190,2020,EN
Tottenham,51.6,24670,2577,7991,11935,4997,700,24665,715,403,56.4,312,43.6,13842,73058,37183,633,506,152,519,334,16404,1316,2020,EN
West Brom,37.9,18247,2539,6670,7517,4237,578,18242,505,264,52.3,241,47.7,8262,44861,21527,441,283,103,613,313,9668,1017,2020,EN
West Ham,43.2,20810,2294,6638,9343,5060,761,20806,542,298,55.0,244,45.0,10960,63334,30416,658,455,152,491,318,12606,1263,2020,EN
Wolves,49.3,23259,2190,7246,11020,5206,694,23255,779,468,60.1,311,39.9,13272,72908,38578,800,566,177,592,309,15405,1266,2020,EN
Alavés,42.8,18193,2104,6503,8084,3788,575,18185,467,254,54.4,214,45.8,8988,44447,20940,404,315,104,557,256,10112,925,2020,SP
Athletic Club,49.9,21410,1921,5863,10255,5481,675,21405,501,304,60.7,197,39.3,11152,64941,35151,685,510,147,496,335,13475,1477,2020,SP
