Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,season,country
Brescia,725,19.08,482,88,27,50,70,8,58,1.53,36,8,0,6,7,1,2019,IT
Cagliari,771,20.29,574,71,50,32,32,12,82,2.16,61,5,3,6,4,3,2019,IT
Fiorentina,970,25.53,676,93,61,59,69,12,83,2.18,48,9,6,11,9,0,2019,IT
Genoa,754,19.84,540,59,41,51,48,15,80,2.11,53,4,5,6,10,2,2019,IT
Hellas Verona,766,20.16,562,70,42,56,31,5,77,2.03,51,5,7,6,7,1,2019,IT
Inter,1078,28.37,786,79,65,81,50,17,137,3.61,98,6,9,11,12,1,2019,IT
Juventus,1209,31.82,901,79,75,69,69,16,125,3.29,82,7,13,10,12,1,2019,IT
Lazio,1038,27.32,770,76,71,60,44,17,135,3.55,98,2,10,9,13,3,2019,IT
Lecce,935,24.61,711,79,38,45,51,11,93,2.45,55,8,7,9,12,2,2019,IT
Milan,1089,28.66,817,77,75,60,47,13,102,2.68,67,6,8,10,10,1,2019,IT
Napoli,1242,32.68,982,75,65,65,41,14,103,2.71,71,9,3,11,7,2,2019,IT
Parma,808,21.26,587,71,58,38,42,12,95,2.5,66,7,10,5,5,2,2019,IT
Roma,1133,29.82,801,101,78,76,57,20,128,3.37,90,7,9,11,11,0,2019,IT
Sampdoria,972,25.58,693,91,46,68,62,12,80,2.11,53,4,3,6,12,2,2019,IT
Sassuolo,968,25.47,721,57,65,59,50,16,116,3.05,82,2,13,11,8,0,2019,IT
SPAL,822,21.63,579,91,49,36,56,11,45,1.18,25,4,5,5,6,0,2019,IT
Torino,786,20.68,542,91,43,43,53,14,73,1.92,44,8,5,12,4,0,2019,IT
Udinese,826,21.74,628,69,48,37,32,12,61,1.61,43,4,6,4,1,3,2019,IT
Ath Paranaense,765,20.13,564,71,42,40,39,9,68,1.79,49,3,10,5,1,0,2020,BR
Atl Goianiense,801,21.08,572,75,51,36,54,13,72,1.89,47,6,7,7,3,2,2020,BR
Atlético Mineiro,1103,29.03,830,68,58,74,54,19,106,2.79,77,4,6,8,9,2,2020,BR
Bahia,903,23.76,636,79,63,59,55,11,88,2.32,59,5,9,9,6,0,2020,BR
Botafogo (RJ),903,23.76,654,87,37,56,59,10,49,1.29,31,1,3,9,3,2,2020,BR
Ceará,780,20.53,530,76,62,48,43,21,89,2.34,58,7,9,6,8,1,2020,BR
Corinthians,819,21.55,607,68,41,47,41,15,75,1.97,49,7,7,8,4,0,2020,BR
Coritiba,696,18.32,530,53,34,30,37,12,54,1.42,42,2,3,2,5,0,2020,BR
Flamengo,1018,26.79,750,81,63,55,57,12,115,3.03,78,9,11,9,8,0,2020,BR
Fluminense,766,20.16,513,89,43,54,55,12,91,2.39,57,9,5,10,9,1,2020,BR
Fortaleza,734,19.32,513,74,56,31,51,9,57,1.5,39,3,3,6,6,0,2020,BR
Goiás,732,19.26,488,84,36,49,63,12,61,1.61,37,4,3,10,6,1,2020,BR
Grêmio,951,25.03,683,80,63,34,79,12,93,2.45,66,7,4,4,11,1,2020,BR
Internacional,768,20.21,547,73,42,53,42,11,90,2.37,56,10,5,11,7,1,2020,BR
Palmeiras,904,23.79,660,74,48,69,39,14,77,2.03,53,3,3,15,2,1,2020,BR
Red Bull Bragantino,1029,27.08,781,75,52,53,53,15,82,2.16,57,5,6,10,4,0,2020,BR
Santos,752,19.79,509,68,55,41,72,7,86,2.26,57,6,4,8,11,0,2020,BR
São Paulo,987,25.97,757,75,33,48,63,11,95,2.5,66,9,5,7,7,1,2020,BR
Sport Recife,655,17.24,446,65,32,45,60,7,55,1.45,38,2,2,7,6,0,2020,BR
Vasco da Gama,670,17.63,472,62,42,37,42,15,60,1.58,34,5,2,11,5,3,2020,BR
Arsenal,813,21.39,623,44,49,45,46,6,95,2.5,69,2,8,6,8,2,2020,EN
Aston Villa,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1,2020,EN
Brighton,847,22.29,628,75,34,55,42,13,63,1.66,47,6,1,4,5,0,2020,EN
Burnley,666,17.53,471,71,28,36,51,9,52,1.37,32,6,4,3,5,2,2020,EN
Chelsea,1018,26.79,790,81,42,55,43,7,95,2.5,69,6,4,6,10,0,2020,EN
Crystal Palace,618,16.26,433,54,52,23,46,10,70,1.84,49,5,6,3,5,2,2020,EN
Everton,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0,2020,EN
Fulham,785,20.66,579,65,53,35,47,6,47,1.24,33,2,4,3,4,1,2020,EN
Leeds United,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,2020,EN
Leicester City,863,22.71,635,49,56,46,54,23,114,3.0,85,3,8,4,10,4,2020,EN
Liverpool,1068,28.11,818,71,58,61,46,14,110,2.89,77,6,4,14,6,3,2020,EN
Manchester City,1067,28.08,801,61,90,57,43,15,141,3.71,100,3,17,13,6,2,2020,EN
Manchester Utd,953,25.08,720,73,46,58,46,10,127,3.34,94,5,8,9,9,2,2020,EN
