Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,season,country
Crystal Palace,15597,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351,2020,EN
Everton,18696,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362,2020,EN
Fulham,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346,2020,EN
Leeds United,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364,2020,EN
Leicester City,21216,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376,2020,EN
Liverpool,26226,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357,2020,EN
Manchester City,27167,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320,2020,EN
Manchester Utd,22624,20810,1738,433,34,211,640,760,197,83,87,4,18800,76,401,2020,EN
Newcastle Utd,14709,12864,1787,464,12,122,652,724,161,67,51,20,10839,58,321,2020,EN
Sheffield Utd,16264,14542,1649,347,13,115,666,750,170,118,29,4,12146,73,308,2020,EN
Southampton,19288,17388,1824,496,16,87,554,809,177,82,79,8,14928,76,343,2020,EN
Tottenham,20571,18738,1788,524,28,147,526,750,168,117,37,0,16508,45,361,2020,EN
West Brom,13978,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275,2020,EN
West Ham,16901,15140,1687,398,15,109,775,741,167,92,60,1,12725,74,357,2020,EN
Wolves,19225,17437,1751,444,20,141,775,735,208,65,70,3,15548,37,336,2020,EN
Alavés,14388,12378,1937,595,11,144,645,800,142,42,68,4,10216,73,265,2020,SP
Athletic Club,17842,15738,2027,561,13,200,812,920,197,65,73,3,13578,77,377,2020,SP
Atlético Madrid,20680,18818,1766,480,46,171,597,734,196,54,98,0,16757,96,302,2020,SP
Barcelona,28488,26712,1686,536,58,108,494,644,217,68,35,0,25192,90,340,2020,SP
Betis,19679,17720,1894,598,18,163,586,774,184,48,82,2,15814,65,321,2020,SP
Cádiz,12067,10091,1920,587,15,134,731,739,149,56,78,1,7949,56,282,2020,SP
Celta Vigo,19318,17402,1851,553,33,145,521,764,125,42,62,2,15176,65,298,2020,SP
Eibar,16890,14786,2037,511,5,243,1052,991,197,94,98,0,11810,67,325,2020,SP
Elche,17054,15168,1835,537,8,167,672,715,137,52,60,1,13481,51,322,2020,SP
Getafe,13863,11734,2055,596,7,210,815,973,143,71,36,0,8977,74,322,2020,SP
Granada,13336,11332,1922,506,17,115,613,870,128,57,39,1,9083,82,333,2020,SP
Huesca,17480,15449,1930,598,9,197,824,788,156,59,58,1,13507,101,321,2020,SP
Levante,18116,16222,1825,509,23,178,697,767,173,61,41,0,14190,69,370,2020,SP
Osasuna,15031,13118,1846,510,6,194,700,831,117,44,54,1,10233,67,281,2020,SP
Real Madrid,24119,22248,1785,501,32,351,771,759,224,70,65,1,20652,86,346,2020,SP
Real Sociedad,18995,17052,1857,545,40,103,712,823,196,87,82,1,14915,86,369,2020,SP
Sevilla,22873,21025,1779,516,27,384,731,797,167,35,65,0,19248,69,301,2020,SP
Valencia,16480,14548,1842,584,22,218,613,666,163,58,51,2,12755,90,297,2020,SP
Valladolid,15385,13372,1938,571,20,193,744,796,145,53,39,1,11145,75,312,2020,SP
Villarreal,21129,19245,1796,539,47,178,579,711,160,58,33,1,17508,88,348,2020,SP
Arminia,14604,12895,1660,493,13,114,471,714,118,54,43,1,10582,49,274,2020,GE
Augsburg,14168,12411,1690,497,17,114,500,690,121,69,38,0,10257,67,337,2020,GE
Bayern Munich,22039,20252,1713,477,23,160,828,727,237,108,86,0,18358,74,370,2020,GE
Dortmund,22396,20771,1556,396,41,150,532,674,173,65,73,0,18812,69,316,2020,GE
Eint Frankfurt,18424,16631,1724,440,20,86,776,714,206,79,78,0,14241,69,321,2020,GE
Freiburg,15960,14251,1653,426,15,155,636,721,123,54,50,0,12177,56,338,2020,GE
Gladbach,18955,17199,1674,473,29,107,561,676,177,66,94,0,15207,82,342,2020,GE
Hertha BSC,16169,14352,1740,460,16,155,585,751,152,59,61,1,12566,77,312,2020,GE
Hoffenheim,18046,16275,1722,509,15,151,658,745,156,52,60,1,14269,49,374,2020,GE
Köln,15870,14088,1725,490,10,105,655,756,135,60,53,1,11954,57,331,2020,GE
Leverkusen,21683,19980,1631,409,17,152,674,733,184,65,75,0,17887,72,361,2020,GE
Mainz 05,13776,11989,1730,425,22,80,605,808,130,58,59,0,9531,57,339,2020,GE
RB Leipzig,21450,19713,1656,472,19,99,649,761,185,90,68,0,17500,81,338,2020,GE
Schalke 04,14706,12891,1747,486,19,123,425,715,124,46,71,0,11084,68,321,2020,GE
Stuttgart,17768,15983,1730,474,23,113,539,723,155,59,77,2,14115,55,356,2020,GE
Union Berlin,15951,14267,1600,420,15,97,640,728,140,63,70,2,11859,84,321,2020,GE
Werder Bremen,15559,13764,1727,536,11,142,548,706,116,40,61,0,11648,68,298,2020,GE
Wolfsburg,17236,15503,1656,431,20,118,643,759,176,92,48,0,13133,77,348,2020,GE
Atalanta,22063,20351,1656,508,28,181,657,689,201,104,82,0,18066,56,395,2020,IT
Benevento,15318,13338,1919,685,12,95,645,658,169,52,96,0,11573,61,296,2020,IT
Bologna,18539,16629,1837,533,31,105,669,697,201,134,38,0,14683,73,346,2020,IT
Cagliari,16868,14915,1896,563,8,96,721,755,170,51,92,0,13040,57,345,2020,IT
Crotone,17229,15358,1814,600,9,99,544,619,138,72,22,0,13532,57,329,2020,IT
Fiorentina,17136,15159,1916,617,10,203,740,742,168,34,113,1,13430,61,332,2020,IT
Genoa,17948,16092,1777,519,15,146,579,703,129,43,62,0,13954,79,331,2020,IT
Hellas Verona,17419,15491,1823,551,10,102,732,711,185,64,107,0,12926,105,343,2020,IT
Inter,21624,19951,1608,450,29,152,702,651,206,64,85,0,18384,65,355,2020,IT
Juventus,23031,21302,1636,496,25,158,754,576,221,53,121,0,19839,93,326,2020,IT
Lazio,20795,19069,1639,468,25,151,744,653,189,97,63,1,16972,87,346,2020,IT
Milan,19459,17686,1681,491,20,140,688,646,213,98,78,0,15889,92,309,2020,IT
Napoli,22210,20306,1832,611,27,198,665,699,219,85,66,0,18892,72,345,2020,IT
Parma,18427,16577,1772,542,15,188,643,654,154,52,68,1,14837,78,327,2020,IT
Roma,19977,18303,1615,527,57,133,679,562,213,91,98,1,16561,59,323,2020,IT
Sampdoria,17643,15658,1923,609,7,187,787,758,199,65,96,0,13423,62,338,2020,IT
Sassuolo,23660,21905,1698,549,22,110,588,574,208,81,82,0,20368,57,320,2020,IT
Spezia,19566,17599,1885,677,16,201,602,744,150,9,98,0,15563,82,338,2020,IT
Torino,17163,15195,1909,659,23,210,740,663,171,39,110,0,13369,59,314,2020,IT
Udinese,17414,15576,1756,574,21,101,703,651,163,50,83,0,13917,82,307,2020,IT
América (MG),16199,14174,1954,625,31,139,739,779,195,63,75,3,12255,71,369,2021,BR
Ath Paranaense,17893,15975,1880,532,22,265,777,750,185,54,107,1,14288,38,294,2021,BR
Atl Goianiense,17320,15332,1940,607,21,131,632,705,198,94,78,2,13678,48,270,2021,BR
Atlético Mineiro,20562,18795,1718,527,37,122,714,654,242,95,86,0,17120,49,317,2021,BR
Bahia,16621,14652,1927,568,28,98,848,773,207,81,99,0,12756,42,334,2021,BR
Ceará,15625,13634,1939,568,40,151,672,769,199,74,93,7,11834,52,334,2021,BR
Chapecoense,15199,13194,1951,534,23,127,732,755,186,54,108,1,11455,54,367,2021,BR
Corinthians,21763,19770,1962,629,24,131,649,741,207,81,112,0,18288,31,351,2021,BR
Cuiabá,16500,14567,1867,596,25,158,580,731,139,42,84,0,12902,66,307,2021,BR
Flamengo,21355,19471,1827,570,50,137,700,725,230,61,106,1,17882,57,315,2021,BR
Fluminense,17969,16063,1858,592,32,111,717,746,172,69,94,2,14421,48,303,2021,BR
Fortaleza,16426,14452,1894,644,43,136,608,695,176,48,93,1,12862,80,253,2021,BR
Grêmio,18831,17022,1775,506,38,193,782,699,242,67,83,1,15076,34,315,2021,BR
Internacional,17928,15885,2001,616,40,141,725,803,194,60,121,2,14134,42,307,2021,BR
Juventude,16168,14153,1974,679,17,111,635,741,144,58,58,3,12716,41,254,2021,BR
Palmeiras,17562,15622,1868,597,32,185,739,671,217,89,75,1,14104,72,247,2021,BR
Red Bull Bragantino,17616,15724,1859,598,38,288,764,706,180,143,11,5,13916,33,262,2021,BR
Santos,19145,17192,1894,598,28,107,771,743,189,116,53,0,15420,59,300,2021,BR
São Paulo,19489,17478,1926,573,36,114,883,804,214,100,95,0,15519,85,340,2021,BR
Sport Recife,16541,14729,1773,555,19,133,702,662,162,64,72,0,13074,39,271,2021,BR
Arsenal,19843,18149,1628,404,77,132,633,679,208,153,23,5,16176,66,309,2021,EN
Aston Villa,16499,14615,1832,525,71,97,670,716,196,111,42,11,12748,52,278,2021,EN
Brentford,16272,14443,1763,432,50,70,640,778,159,84,47,9,11676,66,333,2021,EN
Brighton,20588,18838,1697,390,58,152,728,784,200,84,96,0,16410,53,397,2021,EN
Burnley,14107,12275,1731,370,32,135,747,783,183,152,14,1,9454,101,334,2021,EN
Chelsea,24888,23158,1661,434,77,101,745,713,241,113,100,0,21190,69,364,2021,EN
Crystal Palace,19081,17115,1903,528,40,120,643,844,175,88,44,8,14983,63,316,2021,EN
Everton,14557,12746,1758,413,30,70,653,783,161,83,60,0,10366,53,345,2021,EN
Leeds United,18288,16432,1793,417,66,140,648,798,170,100,38,3,13989,63,368,2021,EN
Leicester City,20137,18268,1809,457,65,105,556,769,185,113,42,2,16129,60,379,2021,EN
Liverpool,25552,23742,1747,436,112,167,897,780,282,47,207,0,21163,63,374,2021,EN
Manchester City,27902,26239,1597,406,102,192,869,664,316,154,50,4,24406,66,355,2021,EN
Manchester Utd,20641,18862,1691,376,80,187,659,725,197,74,88,0,16690,88,369,2021,EN
Newcastle Utd,14036,12203,1762,415,31,114,592,743,160,90,46,14,10201,71,281,2021,EN
Norwich City,16070,14176,1839,474,50,153,568,766,165,90,60,2,12164,55,306,2021,EN
Southampton,16941,15115,1784,411,43,81,711,750,233,106,105,4,12505,42,343,2021,EN
Tottenham,20696,18976,1658,430,88,133,632,676,193,78,62,0,17204,62,332,2021,EN
Watford,14640,12800,1787,394,35,101,610,808,161,90,50,4,10423,53,317,2021,EN
West Ham,18378,16647,1672,309,29,146,802,770,200,135,43,1,14326,59,353,2021,EN
Wolves,19103,17380,1662,420,58,151,587,718,168,41,86,6,15253,61,329,2021,EN
Alavés,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310,2021,SP
Athletic Club,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332,2021,SP
Atlético Madrid,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298,2021,SP
Barcelona,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309,2021,SP
Betis,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310,2021,SP
Cádiz,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312,2021,SP
Celta Vigo,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360,2021,SP
Elche,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335,2021,SP
Espanyol,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287,2021,SP
Getafe,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299,2021,SP
Granada,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295,2021,SP
Levante,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311,2021,SP
Mallorca,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311,2021,SP
Osasuna,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309,2021,SP
Rayo Vallecano,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321,2021,SP
Real Madrid,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313,2021,SP
Real Sociedad,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352,2021,SP
Sevilla,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305,2021,SP
Valencia,13777,11686,2039,664,32,227,765,811,175,73,63,3,9627,52,289,2021,SP
